post_id,platform,content_type,topic,language,region,Post_date,post_hour,sentiment_score,views,likes,comments,shares,engagement_rate,viral
1,LinkedIn,article,Technology,UR,BR,2025-04-25,09,0.76,37781,1202,462,185,0.049,No
2,LinkedIn,poll,Health,FR,JP,2025-10-29,09,0.46,23541,1399,538,215,0.0915,Yes
3,LinkedIn,article,Travel,HI,FR,2025-02-10,14,-0.01,30714,1663,639,255,0.0833,Yes
4,LinkedIn,image,Sports,DE,DE,2025-04-18,22,0.55,31294,1372,528,211,0.0675,No
5,LinkedIn,poll,Business,DE,US,2025-04-28,10,0.7,43129,2234,859,343,0.0797,No
6,LinkedIn,image,Sports,FR,AU,2025-10-03,15,0.23,11016,633,243,97,0.0885,Yes
7,LinkedIn,carousel,Food,HI,FR,2025-07-15,15,0.49,1212,104,40,16,0.1323,Yes
8,LinkedIn,image,Fashion,ES,AU,2025-02-24,09,0.69,8331,737,283,113,0.1363,Yes
9,LinkedIn,image,Business,EN,BR,2025-10-18,02,0.97,11821,460,177,70,0.06,No
10,LinkedIn,poll,Health,FR,AU,2025-12-20,14,0.41,37301,1170,450,180,0.0483,No
11,LinkedIn,video,Technology,HI,US,2025-04-28,09,0.68,27677,845,325,130,0.047,No
12,LinkedIn,article,Health,DE,FR,2025-07-30,09,0.51,30400,774,298,119,0.0392,No
13,LinkedIn,video,Lifestyle,JA,BR,2025-02-08,09,0.92,4842,146,56,22,0.0465,No
14,LinkedIn,article,Health,UR,JP,2025-05-27,15,0.75,33954,3025,1163,465,0.1371,Yes
15,LinkedIn,poll,Sports,EN,AU,2025-02-11,02,0.65,39251,2332,897,358,0.0914,Yes
16,LinkedIn,image,Lifestyle,FR,DE,2025-05-03,10,0.74,7552,163,63,25,0.0334,No
17,LinkedIn,video,Fashion,UR,MX,2025-06-28,07,-0.27,35664,442,170,68,0.0191,No
18,LinkedIn,poll,Lifestyle,HI,MX,2025-05-16,09,0.81,18300,1042,401,160,0.0877,Yes
19,LinkedIn,image,Technology,HI,FR,2025-05-22,14,0.45,46286,3769,1449,579,0.1253,Yes
20,LinkedIn,poll,Technology,DE,CA,2025-10-10,10,0.46,37692,3022,1162,465,0.1234,Yes
21,LinkedIn,carousel,Food,ES,BR,2025-03-25,05,0.21,18485,458,176,70,0.0382,No
22,LinkedIn,article,Health,EN,JP,2025-04-24,15,0.92,19292,881,339,135,0.0703,No
23,LinkedIn,poll,Health,DE,US,2025-03-01,08,0.99,8578,423,162,65,0.0759,No
24,LinkedIn,poll,Business,UR,US,2025-12-29,10,0.47,20681,1084,417,166,0.0807,Yes
25,LinkedIn,carousel,Education,PT,UK,2025-10-11,15,0.66,39009,2449,942,376,0.0966,Yes
26,LinkedIn,image,Travel,JA,JP,2025-12-12,15,0.52,2600,48,18,7,0.0285,No
27,LinkedIn,carousel,Food,HI,JP,2025-08-01,18,0.23,7985,542,208,83,0.1046,Yes
28,LinkedIn,video,Sports,JA,US,2025-10-13,09,0.07,11430,715,275,110,0.0963,Yes
29,LinkedIn,carousel,Travel,UR,BR,2025-11-23,15,0.94,6280,176,68,27,0.0434,No
30,LinkedIn,video,Health,ES,BR,2025-02-02,14,0.97,20569,1645,632,253,0.1231,Yes
31,LinkedIn,carousel,Fashion,FR,JP,2025-04-23,15,-0.52,26822,1164,448,179,0.0668,No
32,LinkedIn,article,Entertainment,PT,MX,2025-08-25,14,0.97,28627,1086,417,167,0.0584,No
33,LinkedIn,article,Travel,EN,AU,2025-01-27,11,-0.82,2335,93,36,14,0.0619,No
34,LinkedIn,video,Sports,JA,IN,2025-10-16,14,-0.9,2682,143,55,22,0.0824,Yes
35,LinkedIn,poll,Health,PT,BR,2025-02-08,10,0.66,25285,529,203,81,0.0322,No
36,LinkedIn,image,Technology,PT,JP,2025-02-24,14,0.95,32686,1814,698,279,0.0854,Yes
37,LinkedIn,poll,Lifestyle,DE,BR,2025-02-14,15,-0.11,14901,519,199,79,0.0537,No
38,LinkedIn,image,Education,UR,CA,2025-12-26,17,0.54,32201,2057,791,316,0.0983,Yes
39,LinkedIn,carousel,Travel,EN,IN,2025-05-31,10,-0.06,17475,479,184,73,0.0423,No
40,LinkedIn,video,Education,HI,AU,2025-12-20,10,0.62,20809,343,132,52,0.0254,No
41,LinkedIn,poll,Sports,UR,US,2025-01-28,10,0.51,4367,147,56,22,0.0522,No
42,LinkedIn,carousel,Entertainment,HI,FR,2025-09-09,09,-0.01,30014,967,372,148,0.0496,No
43,LinkedIn,poll,Health,UR,CA,2025-11-14,09,0.45,1175,52,20,8,0.0691,No
44,LinkedIn,poll,Travel,UR,US,2025-04-29,14,0.53,10764,898,345,138,0.1285,Yes
45,LinkedIn,video,Entertainment,EN,MX,2025-06-07,14,0.76,29313,2185,840,336,0.1148,Yes
46,LinkedIn,poll,Lifestyle,EN,IN,2025-04-28,18,-0.84,39360,1216,468,187,0.0476,No
47,LinkedIn,carousel,Entertainment,JA,DE,2025-07-29,09,0.59,22186,535,206,82,0.0372,No
48,LinkedIn,carousel,Fashion,EN,AU,2025-08-25,10,-0.61,46760,1699,653,261,0.0559,No
49,LinkedIn,article,Food,FR,MX,2025-06-09,15,0.83,34349,2524,971,388,0.1131,Yes
50,LinkedIn,carousel,Travel,JA,BR,2025-08-22,15,-0.54,1168,30,11,4,0.0405,No
51,LinkedIn,image,Food,JA,MX,2025-08-17,14,0.87,3860,163,63,25,0.0653,No
52,LinkedIn,carousel,Health,PT,MX,2025-09-11,04,0.49,43911,3829,1473,589,0.1342,Yes
53,LinkedIn,article,Travel,UR,DE,2025-11-16,20,-0.18,5484,146,56,22,0.0411,No
54,LinkedIn,image,Business,HI,FR,2025-02-20,22,0.62,10540,360,138,55,0.0527,No
55,LinkedIn,carousel,Food,ES,MX,2025-03-31,15,0.55,17733,1163,447,179,0.101,Yes
56,LinkedIn,carousel,Lifestyle,ES,IN,2025-08-15,18,-0.15,25993,1245,479,191,0.0737,No
57,LinkedIn,poll,Lifestyle,UR,US,2025-12-04,09,0.51,17425,1145,440,176,0.1012,Yes
58,LinkedIn,video,Entertainment,EN,UK,2025-08-14,14,0.48,36350,2909,1119,447,0.1231,Yes
59,LinkedIn,image,Fashion,UR,MX,2025-05-12,15,0.16,27044,2150,827,330,0.1223,Yes
60,LinkedIn,poll,Education,HI,FR,2025-01-08,09,0.68,41602,3529,1357,543,0.1305,Yes
61,LinkedIn,poll,Education,FR,IN,2025-11-22,22,0.54,36228,918,353,141,0.039,No
62,LinkedIn,carousel,Education,PT,CA,2025-03-21,20,0.97,24768,622,239,95,0.0386,No
63,LinkedIn,image,Fashion,DE,US,2025-07-23,09,-0.29,14448,230,88,35,0.0245,No
64,LinkedIn,poll,Business,FR,BR,2025-06-18,19,0.92,9637,171,66,26,0.0274,No
65,LinkedIn,video,Food,DE,US,2025-03-31,10,0.53,41311,757,291,116,0.0282,No
66,LinkedIn,poll,Lifestyle,JA,US,2025-02-01,12,-0.04,10721,182,70,28,0.0262,No
67,LinkedIn,image,Food,DE,FR,2025-11-02,15,0.9,27131,1379,530,212,0.0782,No
68,LinkedIn,article,Education,PT,DE,2025-12-07,10,-0.01,9527,466,179,71,0.0754,No
69,LinkedIn,poll,Fashion,DE,IN,2025-07-30,15,0.69,8092,349,134,53,0.0664,No
70,LinkedIn,poll,Education,HI,UK,2025-10-21,15,0.82,21249,1929,742,296,0.1397,Yes
71,LinkedIn,image,Technology,ES,MX,2025-10-17,02,0.62,48290,1951,750,300,0.0622,No
72,LinkedIn,poll,Food,HI,US,2025-03-21,09,0.53,34577,817,314,125,0.0364,No
73,LinkedIn,carousel,Entertainment,UR,CA,2025-09-07,14,0.18,19969,722,277,111,0.0557,No
74,LinkedIn,article,Travel,PT,MX,2025-03-08,10,0.95,21516,1393,536,214,0.0997,Yes
75,LinkedIn,poll,Health,PT,UK,2025-02-28,14,0.64,6154,284,109,43,0.071,No
76,LinkedIn,image,Education,FR,DE,2025-03-28,09,0.55,12370,751,289,115,0.0935,Yes
77,LinkedIn,article,Sports,JA,JP,2025-10-16,14,0.68,42378,1667,641,256,0.0605,No
78,LinkedIn,image,Food,EN,DE,2025-09-17,15,0.99,6917,475,182,73,0.1057,Yes
79,LinkedIn,poll,Health,JA,CA,2025-10-11,23,-0.59,23507,1486,571,228,0.0973,Yes
80,LinkedIn,article,Fashion,ES,US,2025-05-07,14,0.14,4431,296,114,45,0.1031,Yes
81,LinkedIn,image,Entertainment,DE,IN,2025-10-13,09,0.79,44393,2112,812,325,0.0732,No
82,LinkedIn,poll,Entertainment,UR,AU,2025-07-12,10,0.59,15037,622,239,95,0.0638,No
83,LinkedIn,carousel,Business,FR,MX,2025-03-21,09,0.49,12851,988,380,152,0.1183,Yes
84,LinkedIn,poll,Sports,JA,US,2025-07-30,10,0.98,31737,2946,1133,453,0.1429,Yes
85,LinkedIn,video,Education,JA,JP,2025-05-25,16,0.69,25327,1498,576,230,0.0911,Yes
